ID,Gender,Nationality,Major,Level,IE1,SMSK3,RAS1,RAS2,SMSK1,SMSK4,IE2,TL1,RAS3,IE3,RAS4,RAS5,IE4,SMSK2,TL2,TL3,PSD1,PSD2,PSD3,IE5,PSD4,PSD5,IM1,IM2,IM3,IM4,IM5,IM6,W1,W2,W3,Employed,Score,Class
1,0,1,0,2,4,3,4,4,2,3,3,3,4,3,3,2,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,1,3.2,1
2,0,0,0,2,4,4,4,4,3,3,4,4,3,4,4,2,4,4,4,4,4,3,3,4,4,3,3,4,4,3,4,4,3,4,3,0,3.82,1
3,0,1,0,1,3,2,3,4,3,3,4,2,4,3,3,2,3,3,2,3,2,3,3,3,3,3,4,4,3,4,4,3,4,4,2,1,3.75,1
4,1,1,1,3,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,1,3.7,1
5,0,0,0,2,4,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,4,2,1,3.82,0
6,1,0,1,2,3,3,3,4,3,3,3,4,2,3,2,2,2,3,3,3,2,3,3,4,3,2,4,4,3,3,4,3,3,4,2,1,3.68,0
7,0,1,0,2,2,2,3,3,3,3,4,2,3,3,2,3,3,2,2,4,4,3,3,3,3,3,3,2,4,3,3,3,4,4,4,1,3.83,0
8,0,1,0,1,4,4,4,4,4,4,4,4,4,4,3,3,2,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3.27,1
9,0,1,1,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,1,3,0
10,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,1,3.85,1
11,1,1,0,2,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,,1,3.89,1
12,1,1,0,2,3,2,3,4,2,3,4,3,3,4,4,3,3,4,3,3,3,3,4,3,3,3,2,3,4,3,2,3,2,3,2,1,3.35,0
13,0,1,0,2,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3.55,1
14,0,0,1,2,3,3,3,3,2,2,3,3,3,3,3,3,2,1,3,3,2,2,3,3,3,3,3,2,1,3,3,3,4,3,1,1,3.25,0
15,1,0,1,2,4,4,4,4,3,3,3,3,3,3,4,2,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,,1,3.5,1
16,0,0,0,2,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,2,1,3.7,0
17,1,1,0,2,3,3,4,4,3,3,4,4,3,3,4,3,3,4,3,2,3,3,4,3,3,3,2,4,4,4,4,3,3,3,3,1,3.67,1
18,0,1,1,2,1,3,2,3,2,2,3,1,2,2,3,1,1,2,2,2,3,2,2,2,2,2,3,2,3,4,3,3,3,2,2,1,3.59,0
19,1,1,0,2,3,4,3,4,4,2,3,3,4,3,4,3,4,3,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,1,3.78,1
20,0,1,1,2,4,4,3,4,3,3,3,4,4,3,3,3,3,3,3,4,4,4,3,4,3,3,4,3,4,4,3,3,4,4,3,1,3.23,0
21,0,1,1,2,3,3,4,4,4,3,4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,1,3.44,1
22,0,1,1,2,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,1,1,3.32,1
23,0,0,0,2,4,3,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,3,3,1,3.75,1
24,0,0,0,2,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3,,,3,0,3.44,0
25,0,0,1,2,3,3,3,3,2,3,3,3,3,3,3,1,3,2,2,3,3,3,3,4,3,1,3,3,3,4,2,2,1,3,1,1,3.45,0
26,0,0,0,2,4,3,3,4,3,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,3,4,3,3,3,3,,,,0,3.45,0
27,1,0,1,2,4,3,4,4,3,3,4,3,4,4,3,1,4,4,3,4,4,3,2,4,4,2,3,3,4,3,4,4,4,4,2,1,4,0
28,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,1,3.77,0
29,0,1,0,2,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3.85,1
30,0,0,0,1,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,,,,1,3.75,1
31,0,0,0,2,3,4,4,3,4,2,3,4,3,3,2,2,3,2,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,1,3.75,1
32,0,1,0,2,4,3,4,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3.56,0
33,0,1,1,2,3,3,2,2,3,4,4,4,3,3,3,3,3,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,1,3.49,1
34,0,0,0,2,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,4,3,3,3,4,3,2,4,2,3,3,3,4,1,1,4,0
